ID,Geography,FIPS,Year,Sex,AgeGroup,Level,Count,CountSum,SubPopulation,TotalPopulation,MeanBMI,Percent,AgeAdjustedMean,Unreliability
3410019501002010000,3,41001950100,2016,2,4,5,937,937,-999,2424,26.71184775,100,26.45490366,0
3410019502002010000,3,41001950200,2016,2,4,5,1263,1263,-999,2342,27.62306366,100,27.60355249,0
3410019503002010000,3,41001950300,2016,2,4,5,770,770,-999,1969,27.78889284,100,27.57398292,0
3410019504002010000,3,41001950400,2016,2,4,5,920,920,-999,2064,27.49543648,100,27.41640809,0
3410019505002010000,3,41001950500,2016,2,4,5,644,644,-999,2236,27.24303787,100,27.07914509,0
3410019506002010000,3,41001950600,2016,2,4,5,672,672,-999,1455,27.31468374,100,26.92083816,0
3410030001002010000,3,41003000100,2016,2,4,5,2225,2225,-999,6615,26.26863524,100,26.55302108,0
3410030002022010000,3,41003000202,2016,2,4,5,1693,1693,-999,3695,25.51446084,100,25.52467714,0
3410030004002010000,3,41003000400,2016,2,4,5,2865,2865,-999,6082,25.37390248,100,25.34395396,0
3410030005002010000,3,41003000500,2016,2,4,5,1152,1152,-999,2608,26.01718624,100,25.84050346,0
3410030006002010000,3,41003000600,2016,2,4,5,1496,1496,-999,3280,26.71998915,100,26.93512297,0
3410030009002010000,3,41003000900,2016,2,4,5,1858,1858,-999,4343,24.91037072,100,24.91303514,0
3410030010012010000,3,41003001001,2016,2,4,5,1072,1072,-999,3205,26.27945725,100,26.65836692,0
3410030010022010000,3,41003001002,2016,2,4,5,963,963,-999,2852,25.1895102,100,25.44591677,0
3410030011012010000,3,41003001101,2016,2,4,5,595,595,-999,3728,24.17704299,100,25.34109849,0
3410030011022010000,3,41003001102,2016,2,4,5,1035,1035,-999,4593,24.33387819,100,25.11055213,0
3410030101002010000,3,41003010100,2016,2,4,5,3059,3059,-999,6374,26.75146983,100,26.46366225,0
3410030102002010000,3,41003010200,2016,2,4,5,1420,1420,-999,3469,26.59549358,100,26.38221313,0
3410030103002010000,3,41003010300,2016,2,4,5,1138,1138,-999,2584,26.72322235,100,26.54214534,0
3410030104002010000,3,41003010400,2016,2,4,5,1238,1238,-999,2860,28.01341479,100,27.79306181,0
3410030106002010000,3,41003010600,2016,2,4,5,1080,1080,-999,4985,24.51383516,100,25.63824664,0
3410030107022010000,3,41003010702,2016,2,4,5,569,569,-999,3325,24.56948953,100,25.29093717,0
